code,suject
001,ENGLISH ELECTIVE
301,ENGLISH CORE
002,HINDI ELECTIVE
302,HINDI CORE
003,URDU ELECTIVE
303,URDU CORE
022,SANSKRIT ELECTIVE
322,SANSKRIT CORE
104,PUNJABI
105,BENGALI
106,TAMIL
107,TELUGU
189,TELUGU TELANGANA
108,SINDHI
109,MARATHI
110,GUJARATI
111,MANIPURI
112,MALAYALAM
113,ODIA
114,ASSAMESE
115,KANNADA
116,ARABIC
117,TIBETAN
118,FRENCH
120,GERMAN
121,RUSSIAN
123,PERSIAN
124,NEPALI
125,LIMBOO
126,LEPCHA
192,BODO
193,TANGKHUL
194,JAPANESE
195,BHUTIA
196,SPANISH
197,KASHMIRI
198,MIZO
027,HISTORY
028,POLITICAL SCIENCE
029,GEOGRAPHY
030,ECONOMICS
031,CARNATIC MUSIC VOCAL
032,CARNATIC MUSIC MEL. INS.
033,CARNATIC PER. INS. MRIDANGAM
034,HINDUSTANI MUSIC VOCAL
035,HINDUSTANI MUSIC MEL. INS.
036,HINDUSTANI PER. INS.
037,PSYCHOLOGY
039,SOCIOLOGY
041,MATHEMATICS
241,APPLIED MATHEMATICS
042,PHYSICS
043,CHEMISTRY
044,BIOLOGY
045,BIOTECHIIOLOGY
046,ENGINEERING GRAPHIC
048,PHYSICAL EDUCATION
049,PAINTING
050,GRAPHICS
051,SCULPTURE
052,APPLIED/ COMMERCIAL ART
054,BUSINESS STUDIES
055,ACCOUNTANCY
056,KATHAK-DANCE
057,BHARATNATYAM –DANCE
058,KUCHIPUDI –DANCE
059,ODISSI –DANCE
060,MANIPURI –DANCE
061,KATHAKALI - DAI ICE
064,HOME SCIENCE
065,INFORMATICS PRACTICES
083,COMPUTER SCIENCE
066,ENTREPRENEURSHIP
073,KNOWLEDGE TRADITION & PRACTICES OF INDIA
074,LEGAL STUDIES
076,NATIONAL CADET CORPS (NCC)
801,RETAIL
802,INFORMATION TECHNOLOGY
803,WEB APPLICATION
804,AUTOMOTIVE
805,FINANCIAL MARKETSMANAGEMENT
806,TOURISM
807,BEAUTY & WELLNESS
808,AGRICULTURE
809,FOOD PRODUCTION
810,FRONT OFFICE OPERATIONS
811,BANKING
812,MARKETING
813,HEALTH CARE
814,INSURANCE
816,HORTICULTURE
817,TYPOGRAPHY a COMPUTER APPLICATION
818,GEOSPATIAL TECHNOLOGY
819,ELECTRICAL TECHNOLOGY
820,ELECTRONIC TECHNOLOGY
821,MULTI-MEDIA
822,TAXATION
823,COST ACCOUNTING
824,OFFICE PROCEDURES & PRACTICES
825,SHORTHAND (ENGLISH)
826,SHORTHAND (HINDI)
827,AIR-CONDITIONING & REFRIGERATION
828,MEDICAL DIAGNOSTICS
829,TEXTILE DESIGN
830,DESIGN
831,SALESMANSHIP
833,BUSINESS ADMINISTRATION
834,FOOD NUTRITION a DIETETICS
835,MASS MEDIA STUDIES
836,LIBRARY a INFORMATION SCIENCE
837,FASHION STUDIES
841,YOGA
842,EARLY CHILDHOOD CARE a EDUCATION
843,ARTIFICIAL INTELLIGENCE (NEW)